case_id,event_position,name,timestamp,day,user,anomaly,isAnomaly
7185,0,Activity A,1/1/1970 0:00,Monday,Michaele,Normal,0
6933,0,Activity A,1/1/1970 1:00,Monday,Michaele,Normal,0
6173,0,Activity A,1/1/1970 1:00,Wednesday,Gema,Normal,0
7185,1,Activity N,1/1/1970 2:00,Wednesday,Shandi,Normal,0
6933,1,Activity N,1/1/1970 3:00,Thursday,Shandi,Normal,0
4539,0,Activity A,1/1/1970 3:00,Monday,Michaele,Normal,0
6173,1,Activity C,1/1/1970 3:00,Thursday,Vickie,Normal,0
8220,0,Activity A,1/1/1970 3:00,Wednesday,Gema,Normal,0
8972,0,Activity A,1/1/1970 3:00,Monday,Michaele,Normal,0
5235,0,Activity A,1/1/1970 3:00,Monday,Michaele,Normal,0
7185,2,Activity AE,1/1/1970 4:00,Monday,Keven,Normal,0
8220,1,Activity C,1/1/1970 5:00,Friday,Keven,Normal,0
2345,0,Activity A,1/1/1970 5:00,Wednesday,Gema,Normal,0
8972,1,Random activity 23,1/1/1970 5:00,Random day 4,Random user 55,Insert,1
3444,0,Activity A,1/1/1970 5:00,Monday,Michaele,Normal,0
6933,2,Activity AE,1/1/1970 5:00,Monday,Keven,Normal,0
4539,1,Activity N,1/1/1970 5:00,Thursday,Shandi,Normal,0
3980,0,Activity A,1/1/1970 5:00,Monday,Michaele,Normal,0
5235,1,Activity N,1/1/1970 5:00,Monday,Shandi,Normal,0
6173,2,Activity L,1/1/1970 5:00,Monday,Craig,Normal,0
7185,3,Activity AF,1/1/1970 6:00,Friday,Vickie,Normal,0
357,0,Activity A,1/1/1970 6:00,Wednesday,Michaele,Normal,0
6933,3,Activity AF,1/1/1970 7:00,Wednesday,Vickie,Normal,0
2345,1,Activity C,1/1/1970 7:00,Thursday,Vickie,Normal,0
4539,2,Activity AE,1/1/1970 7:00,Monday,Issac,Normal,0
8220,2,Activity K,1/1/1970 7:00,Wednesday,Sherell,Attribute,1
8972,2,Activity N,1/1/1970 7:00,Monday,Della,Insert,1
5235,2,Activity Y,1/1/1970 7:00,Monday,Carmella,Normal,0
3444,1,Activity N,1/1/1970 7:00,Monday,Shandi,Normal,0
3980,1,Activity N,1/1/1970 7:00,Monday,Della,Normal,0
7190,0,Activity A,1/1/1970 7:00,Wednesday,Gema,Normal,0
6173,3,Activity D,1/1/1970 7:00,Friday,Frances,Normal,0
5304,0,Activity A,1/1/1970 8:00,Wednesday,Michaele,Normal,0
5914,0,Activity A,1/1/1970 8:00,Wednesday,Gema,Normal,0
1817,0,Activity A,1/1/1970 8:00,Wednesday,Gema,Normal,0
357,1,Activity N,1/1/1970 8:00,Monday,Elisha,Normal,0
7185,4,Activity O,1/1/1970 8:00,Wednesday,Iluminada,Normal,0
3444,2,Activity Y,1/1/1970 9:00,Friday,Pam,Normal,0
2345,2,Activity L,1/1/1970 9:00,Monday,Craig,Normal,0
5235,3,Activity AD,1/1/1970 9:00,Tuesday,Shandi,Normal,0
4539,3,Activity AF,1/1/1970 9:00,Wednesday,Vickie,Normal,0
7190,1,Activity C,1/1/1970 9:00,Tuesday,Junior,Normal,0
3159,0,Activity A,1/1/1970 9:00,Monday,Michaele,Normal,0
6933,4,Activity O,1/1/1970 9:00,Friday,Junior,Normal,0
6173,4,Activity B,1/1/1970 9:00,Wednesday,Keven,Normal,0
8972,3,Activity AG,1/1/1970 9:00,Tuesday,Jamika,Insert,1
8220,3,Activity D,1/1/1970 9:00,Monday,Steve,Attribute,1
3980,2,Activity AG,1/1/1970 9:00,Thursday,Alpha,Normal,0
7185,5,Activity B,1/1/1970 10:00,Thursday,Sherlene,Normal,0
5914,1,Activity C,1/1/1970 10:00,Friday,Vickie,Normal,0
4198,0,Activity A,1/1/1970 10:00,Wednesday,Michaele,Normal,0
5304,1,Activity N,1/1/1970 10:00,Monday,Della,Normal,0
2746,0,Activity A,1/1/1970 10:00,Wednesday,Michaele,Normal,0
357,2,Activity Y,1/1/1970 10:00,Friday,Micheline,Normal,0
6099,0,Activity K,1/1/1970 10:00,Tuesday,Emily,Late,1
1817,1,Activity C,1/1/1970 10:00,Friday,Junior,Normal,0
8220,4,Activity B,1/1/1970 11:00,Monday,Sandra,Attribute,1
7190,2,Activity K,1/1/1970 11:00,Monday,Emily,Normal,0
6933,5,Activity B,1/1/1970 11:00,Tuesday,Roseanne,Normal,0
3444,3,Activity AA,1/1/1970 11:00,Monday,Craig,Normal,0
8972,4,Activity AH,1/1/1970 11:00,Monday,Donald,Insert,1
2345,3,Activity D,1/1/1970 11:00,Friday,Frances,Normal,0
4539,4,Activity O,1/1/1970 11:00,Friday,Junior,Normal,0
