case_id,event_position,name,timestamp,org:group,org:resource,resource country,anomaly,isAnomaly
1-147898401,0,Accepted+In Progress,00:36.0,Org line A2,Tomas,Sweden,Normal,0
1-147898401,4,Accepted+In Progress,00:36.0,Org line A2,Tomas,Sweden,Rework,1
1-147898401,1,Accepted+In Progress,05:44.0,Org line A2,Tomas,Sweden,Normal,0
1-147898401,5,Accepted+In Progress,05:44.0,Org line A2,Tomas,Sweden,Rework,1
1-165554831,0,Accepted+In Progress,06:25.0,Org line A2,Tomas,Sweden,Normal,0
1-172473423,0,Accepted+In Progress,21:54.0,Org line A2,Tomas,Sweden,Normal,0
1-182640781,0,Accepted+In Progress,21:05.0,Org line A2,Niklas,Sweden,Normal,0
1-230541365,0,Accepted+In Progress,58:51.0,Org line A2,Tomas,Sweden,Normal,0
1-236817141,0,Accepted+In Progress,02:18.0,Org line A2,Tomas,Sweden,Normal,0
1-230541365,1,Accepted+In Progress,44:37.0,Org line A2,Tomas,Sweden,Normal,0
1-270427461,0,Accepted+In Progress,01:04.0,Org line A2,Tomas,Sweden,Normal,0
1-165554831,1,Accepted+Wait,24:31.0,Org line A2,Tomas,Sweden,Normal,0
1-147898401,2,Accepted+Wait,24:32.0,Org line A2,Tomas,Sweden,Normal,0
1-182640781,1,Accepted+Wait,24:32.0,Org line A2,Niklas,Sweden,Normal,0
1-147898401,6,Accepted+Wait,24:32.0,Org line A2,Tomas,Sweden,Rework,1
1-172473423,1,Accepted+Wait,24:33.0,Org line A2,Tomas,Sweden,Normal,0
1-236817141,1,Accepted+Wait,24:34.0,Org line A2,Tomas,Sweden,Normal,0
1-230541365,2,Accepted+Wait,24:34.0,Org line A2,Tomas,Sweden,Normal,0
1-270427461,1,Accepted+Wait,24:35.0,Org line A2,Tomas,Sweden,Normal,0
1-345132462,0,Accepted+In Progress,34:54.0,Org line A2,Tomas,Sweden,Normal,0
1-345132462,1,Accepted+Wait,43:29.0,Org line A2,Tomas,Sweden,Normal,0
1-351314317,0,Accepted+In Progress,34:32.0,Org line A2,Ewa,POLAND,Normal,0
1-351314317,1,Queued+Awaiting Assignment,45:18.0,Org line A2,Ewa,POLAND,Normal,0
1-345132462,2,Accepted+Assigned,20:05.0,Org line A2,Tomas,Sweden,Normal,0
1-351314317,2,Accepted+In Progress,40:51.0,Org line A2,Ewa,POLAND,Attribute,1
1-351314317,3,Accepted+Assigned,40:58.0,Org line A2,Ewa,POLAND,Attribute,1
1-354350908,0,Accepted+Wait,03:41.0,Org line A2,Tomas,Sweden,Normal,0
1-354376900,0,Accepted+Wait,04:37.0,Org line A2,Tomas,Sweden,Normal,0
1-345132462,3,Accepted+Wait,33:08.0,Org line A2,Tomas,Sweden,Normal,0
1-359841262,0,Accepted+In Progress,06:34.0,Org line A2,Tomas,Sweden,Normal,0
1-359841262,1,Accepted+In Progress,10:10.0,Org line A2,Tomas,Sweden,Normal,0
1-359841262,2,Queued+Awaiting Assignment,12:19.0,Org line A2,Tomas,Sweden,Normal,0
1-359841262,3,Accepted+In Progress,12:35.0,Org line A2,Pawel,POLAND,Normal,0
1-359841262,4,Queued+Awaiting Assignment,12:46.0,Org line A2,Tomas,Sweden,Normal,0
1-359841262,5,Accepted+In Progress,13:02.0,Org line A2,Pawel,POLAND,Normal,0
1-360464815,0,Accepted+In Progress,40:16.0,Org line A2,Panigrahy,Sweden,Normal,0
1-363206822,0,Accepted+In Progress,03:21.0,Org line A2,Pawel,POLAND,Normal,0
1-363206822,1,Accepted+In Progress,05:35.0,Org line A2,Pawel,POLAND,Normal,0
1-363206822,2,Queued+Awaiting Assignment,05:48.0,Org line A2,Tomas,Sweden,Normal,0
1-366698569,0,Random activity 3,37:07.0,Random_0,Random_0,Random_0,Insert,1
1-366698569,1,Accepted+In Progress,37:07.0,Org line G4,Jerker,Sweden,Insert,1
1-366726662,0,Accepted+In Progress,50:15.0,Org line G4,Jerker,Sweden,Normal,0
1-360464815,1,Accepted+Wait,32:45.0,Org line A2,Panigrahy,Sweden,Normal,0
1-366698569,2,Accepted+In Progress,59:00.0,Org line G4,Jerker,Sweden,Insert,1
1-366726662,1,Accepted+In Progress,59:58.0,Org line G4,Jerker,Sweden,Normal,0
1-370436092,0,Accepted+In Progress,23:20.0,Org line C,Celine,France,Normal,0
1-370436092,1,Queued+Awaiting Assignment,23:56.0,Org line C,Celine,France,Normal,0
1-370436092,2,Accepted+In Progress,28:29.0,Org line C,Celine,France,Normal,0
1-375644051,0,Accepted+In Progress,42:48.0,Org line C,Sumesh,0,Normal,0
1-375644051,1,Accepted+Wait,49:29.0,Org line C,Sumesh,0,Normal,0
1-380632889,0,Accepted+In Progress,09:45.0,Org line G4,David,Sweden,Normal,0
1-378050311,0,Accepted+In Progress,37:32.0,Org line C,Peter,Sweden,Normal,0
1-382209384,0,Accepted+In Progress,13:51.0,Org line A2,Tomas,Sweden,Normal,0
1-385201933,0,Accepted+In Progress,50:41.0,Org line G4,Joakim,Sweden,Normal,0
1-385201933,1,Queued+Awaiting Assignment,04:25.0,Org line G4,Joakim,Sweden,Normal,0
1-378050311,1,Accepted+In Progress,03:29.0,Org line C,Peter,Sweden,Normal,0
1-378050311,2,Accepted+In Progress,05:10.0,Org line C,Peter,Sweden,Normal,0
1-359841262,6,Accepted+Assigned,25:18.0,Org line A2,Tomas,Sweden,Normal,0
1-390250582,0,Accepted+In Progress,21:55.0,Org line C,Stephen,USA,Normal,0
1-390722958,1,Accepted+In Progress,39:44.0,Org line G4,Christer,Sweden,Late,1
1-390250582,1,Accepted+Wait,09:54.0,Org line C,Stephen,USA,Normal,0
1-380632889,1,Queued+Awaiting Assignment,24:39.0,Org line G4,David,Sweden,Normal,0
1-390250582,2,Accepted+Assigned,28:48.0,Org line C,Stephen,USA,Normal,0
1-390250582,3,Accepted+In Progress,42:02.0,Org line C,Stephen,USA,Normal,0
1-360072755,0,Queued+Awaiting Assignment,04:56.0,Org line A2,Tomas,Sweden,Normal,0
1-236817141,2,Queued+Awaiting Assignment,06:45.0,Org line A2,Tomas,Sweden,Normal,0
1-182640781,2,Queued+Awaiting Assignment,13:01.0,Org line A2,Niklas,Sweden,Normal,0
1-399013423,0,Queued+Awaiting Assignment,04:31.0,Org line G4,Ing-Marie,Sweden,Normal,0
1-385201933,6,Accepted+Assigned,57:19.0,Org line G4,Per,Sweden,Rework,1
1-385201933,2,Accepted+Assigned,57:19.0,Org line G4,Per,Sweden,Normal,0
1-399628501,0,Accepted+In Progress,19:41.0,Org line G4,David,Sweden,Normal,0
1-402328919,0,Accepted+In Progress,39:32.0,Org line A2,Tomas,Sweden,Normal,0
1-385201933,7,Accepted+In Progress,26:35.0,Org line G4,Per,Sweden,Rework,1
1-385201933,3,Accepted+In Progress,26:35.0,Org line G4,Per,Sweden,Normal,0
1-404005175,0,Accepted+In Progress,32:09.0,Org line G4,Per,Sweden,Normal,0
1-404084309,0,Accepted+In Progress,58:12.0,Org line G4,Per,Sweden,Normal,0
1-404736991,0,Accepted+In Progress,53:12.0,Org line B,Nicolas,France,Normal,0
1-407876996,0,Accepted+In Progress,16:15.0,Org line G4,Ing-Marie,Sweden,Normal,0
1-407876996,1,Queued+Awaiting Assignment,19:28.0,Org line G4,Ing-Marie,Sweden,Normal,0
1-372029512,0,Accepted+Assigned,43:59.0,Org line C,Tomas,Sweden,Normal,0
1-413205820,0,Accepted+In Progress,53:47.0,Org line A2,Fredrik,USA,Normal,0
1-413665008,0,Accepted+In Progress,14:34.0,Org line A2,Tomas,Sweden,Normal,0
1-415000020,0,Accepted+In Progress,37:07.0,Org line C,Jonas,Sweden,Normal,0
1-415000020,1,Queued+Awaiting Assignment,00:46.0,Org line C,Anna,Sweden,Normal,0
1-415822336,0,Accepted+In Progress,04:02.0,Org line G4,Viktoria,Sweden,Normal,0
1-415822336,1,Accepted+Wait,52:09.0,Org line G4,Viktoria,Sweden,Normal,0
1-378050311,3,Accepted+In Progress,35:26.0,Org line C,Peter,Sweden,Normal,0
1-370436092,3,Accepted+In Progress,47:12.0,Org line C,Celine,France,Normal,0
1-404736991,1,Accepted+In Progress,09:29.0,Org line B,Rijin,INDIA,Normal,0
1-404736991,2,Accepted+In Progress,22:09.0,Org line B,Rijin,INDIA,Normal,0
1-404736991,3,Accepted+Wait,26:11.0,Org line B,Rijin,INDIA,Normal,0
1-422418092,2,Accepted+In Progress,20:40.0,Org line G4,Viktoria,Sweden,Rework,1
1-422418092,0,Accepted+In Progress,20:40.0,Org line G4,Viktoria,Sweden,Normal,0
1-422418092,3,Queued+Awaiting Assignment,25:24.0,Org line G4,Viktoria,Sweden,Rework,1
1-422418092,1,Queued+Awaiting Assignment,25:24.0,Org line G4,Viktoria,Sweden,Normal,0
1-415822336,2,Queued+Awaiting Assignment,41:08.0,Org line G4,Viktoria,Sweden,Normal,0
1-415822336,3,Queued+Awaiting Assignment,08:53.0,Org line G4,Viktoria,Sweden,Normal,0
1-415822336,4,Queued+Awaiting Assignment,37:13.0,Org line G4,Viktoria,Sweden,Normal,0
1-415822336,5,Accepted+In Progress,38:42.0,Org line G4,Viktoria,Sweden,Normal,0
1-415822336,6,Accepted+Wait,40:20.0,Org line G4,Viktoria,Sweden,Normal,0
1-399628501,1,Accepted+Assigned,45:01.0,Org line G4,David,Sweden,Normal,0
1-385201933,8,Accepted+Wait,27:07.0,Org line G4,Per,Sweden,Rework,1
1-385201933,4,Accepted+Wait,27:07.0,Org line G4,Per,Sweden,Normal,0
1-404005175,1,Accepted+Wait,28:02.0,Org line G4,Per,Sweden,Normal,0
1-404005175,3,Accepted+Wait,28:02.0,Org line G4,Per,Sweden,Rework,1
1-427955007,0,Accepted+In Progress,24:36.0,Org line G4,Roland,Sweden,Normal,0
1-430880486,0,Accepted+In Progress,55:48.0,Org line G4,Katarina,Sweden,Normal,0
1-433910332,0,Accepted+In Progress,28:04.0,Org line A2,Ian,United Kingdom,Normal,0
1-433910332,1,Accepted+Wait,28:11.0,Org line A2,Ian,United Kingdom,Normal,0
1-433910332,2,Accepted+Wait,41:42.0,Org line A2,Ian,United Kingdom,Normal,0
1-439833168,0,Accepted+In Progress,10:28.0,Org line G4,Per,Sweden,Normal,0
1-439833168,1,Accepted+Wait,54:33.0,Org line G4,Per,Sweden,Normal,0
1-404084309,1,Accepted+Wait,54:47.0,Org line G4,Per,Sweden,Normal,0
1-441507371,0,Accepted+In Progress,35:34.0,Org line G4,Ing-Marie,Sweden,Normal,0
1-441507371,1,Queued+Awaiting Assignment,46:33.0,Org line G4,Ing-Marie,Sweden,Normal,0
1-427955007,1,Accepted+Wait,59:26.0,Org line G4,Roland,Sweden,Normal,0
