case_id,event_position,name,timestamp,org:resource,anomaly,isAnomaly
173688,0,A_SUBMITTED+COMPLETE,38:44.5,112,Normal,0
173688,1,A_PARTLYSUBMITTED+COMPLETE,38:44.9,112,Normal,0
173688,2,A_PREACCEPTED+COMPLETE,39:37.9,112,Normal,0
173688,3,W_Completeren aanvraag+SCHEDULE,39:38.9,112,Normal,0
173691,0,A_SUBMITTED+COMPLETE,08:58.3,112,Normal,0
173691,1,A_PARTLYSUBMITTED+COMPLETE,09:02.2,112,Normal,0
173691,2,A_PREACCEPTED+COMPLETE,09:56.6,112,Normal,0
173691,3,W_Completeren aanvraag+SCHEDULE,09:59.6,112,Normal,0
173694,0,A_SUBMITTED+COMPLETE,10:30.3,112,Normal,0
173694,1,A_PARTLYSUBMITTED+COMPLETE,10:30.6,112,Normal,0
173697,0,A_SUBMITTED+COMPLETE,11:08.9,112,Normal,0
173697,1,A_PARTLYSUBMITTED+COMPLETE,11:09.0,112,Normal,0
173694,2,A_PREACCEPTED+COMPLETE,11:13.0,112,Normal,0
173694,3,W_Completeren aanvraag+SCHEDULE,11:13.4,112,Normal,0
173697,2,A_DECLINED+COMPLETE,11:46.4,112,Normal,0
173700,1,A_SUBMITTED+COMPLETE,15:39.9,112,Early,1
173700,0,A_PARTLYSUBMITTED+COMPLETE,15:40.1,112,Early,1
173700,2,A_DECLINED+COMPLETE,16:21.0,112,Early,1
173703,0,A_SUBMITTED+COMPLETE,45:25.8,112,Normal,0
173703,1,A_PARTLYSUBMITTED+COMPLETE,45:26.0,112,Normal,0
173706,0,A_SUBMITTED+COMPLETE,45:37.3,112,Normal,0
173706,1,A_PARTLYSUBMITTED+COMPLETE,45:37.4,112,Normal,0
173703,2,A_PREACCEPTED+COMPLETE,46:18.2,112,Normal,0
173706,2,W_Afhandelen leads+SCHEDULE,46:18.6,112,Normal,0
173703,3,W_Completeren aanvraag+SCHEDULE,46:18.7,112,Normal,0
173709,0,A_SUBMITTED+COMPLETE,57:43.0,112,Normal,0
173709,1,A_PARTLYSUBMITTED+COMPLETE,57:43.2,112,Normal,0
173709,2,A_PREACCEPTED+COMPLETE,58:27.0,112,Normal,0
173709,3,W_Completeren aanvraag+SCHEDULE,58:27.4,112,Normal,0
173712,0,A_SUBMITTED+COMPLETE,58:30.5,112,Normal,0
173712,1,A_PARTLYSUBMITTED+COMPLETE,58:30.7,112,Normal,0
173712,2,W_Afhandelen leads+SCHEDULE,58:44.0,112,Normal,0
173715,0,A_SUBMITTED+COMPLETE,59:10.5,112,Normal,0
